name,p_max_mpa,v_pm_mps,x_pm_m,omega_sum_kg,W_0_m3,delta_kg_m3,type,num_powders
С 4/0.200 9/0.400 13/0.400 3.0,364.02,950.00,1.956,3.000,0.003333,900.0,Свободная,3
С 4/0.200 9/0.400 14/0.400 3.0,281.89,950.00,2.930,3.000,0.003333,900.0,Свободная,3
С 4/0.200 10/0.400 13/0.400 3.0,296.10,950.00,2.858,3.000,0.003333,900.0,Свободная,3
С 4/0.200 10/0.400 14/0.400 3.0,227.57,950.00,4.751,3.000,0.003333,900.0,Свободная,3
С 4/0.200 11/0.400 13/0.400 3.0,385.29,950.00,3.308,3.000,0.003333,900.0,Свободная,3
С 4/0.200 13/0.400 15/0.400 3.0,355.95,950.00,2.170,3.000,0.003333,900.0,Свободная,3
С 4/0.200 14/0.400 15/0.400 3.0,274.26,950.00,3.415,3.000,0.003333,900.0,Свободная,3
С 5/0.200 8/0.400 9/0.400 3.0,234.85,950.00,3.643,3.000,0.003333,900.0,Свободная,3
С 5/0.200 8/0.400 14/0.400 3.0,312.29,950.00,2.352,3.000,0.003333,900.0,Свободная,3
С 5/0.200 9/0.400 13/0.400 3.0,345.13,950.00,2.110,3.000,0.003333,900.0,Свободная,3
С 5/0.200 8/0.400 15/0.400 3.0,228.14,950.00,4.282,3.000,0.003333,900.0,Свободная,3
С 5/0.200 9/0.400 14/0.400 3.0,269.45,950.00,3.146,3.000,0.003333,900.0,Свободная,3
С 5/0.200 10/0.400 13/0.400 3.0,282.47,950.00,3.079,3.000,0.003333,900.0,Свободная,3
С 5/0.200 11/0.400 13/0.400 3.0,371.96,950.00,3.558,3.000,0.003333,900.0,Свободная,3
С 5/0.200 13/0.400 15/0.400 3.0,336.85,950.00,2.357,3.000,0.003333,900.0,Свободная,3
С 5/0.200 14/0.400 15/0.400 3.0,261.11,950.00,3.706,3.000,0.003333,900.0,Свободная,3
С 8/0.200 9/0.400 10/0.400 3.0,215.11,950.00,4.501,3.000,0.003333,900.0,Свободная,3
С 8/0.200 9/0.400 14/0.400 3.0,357.50,950.00,1.900,3.000,0.003333,900.0,Свободная,3
С 8/0.200 10/0.400 13/0.400 3.0,375.57,950.00,1.843,3.000,0.003333,900.0,Свободная,3
С 8/0.200 9/0.400 15/0.400 3.0,260.56,950.00,3.272,3.000,0.003333,900.0,Свободная,3
С 8/0.200 11/0.400 14/0.400 3.0,378.91,950.00,3.047,3.000,0.003333,900.0,Свободная,3
С 8/0.200 10/0.400 14/0.400 3.0,290.28,950.00,2.727,3.000,0.003333,900.0,Свободная,3
С 8/0.200 14/0.400 15/0.400 3.0,349.59,950.00,2.085,3.000,0.003333,900.0,Свободная,3
С 9/0.200 10/0.400 14/0.400 3.0,268.87,950.00,3.199,3.000,0.003333,900.0,Свободная,3
С 9/0.200 10/0.400 13/0.400 3.0,347.86,950.00,2.100,3.000,0.003333,900.0,Свободная,3
С 9/0.200 11/0.400 14/0.400 3.0,362.40,950.00,3.669,3.000,0.003333,900.0,Свободная,3
С 9/0.200 14/0.400 15/0.400 3.0,323.49,950.00,2.411,3.000,0.003333,900.0,Свободная,3
С 10/0.200 11/0.400 14/0.400 3.0,340.74,950.00,4.887,3.000,0.003333,900.0,Свободная,3
С 10/0.200 13/0.400 15/0.400 3.0,377.28,950.00,1.944,3.000,0.003333,900.0,Свободная,3
С 10/0.200 14/0.400 15/0.400 3.0,290.93,950.00,2.977,3.000,0.003333,900.0,Свободная,3
С 11/0.200 14/0.400 15/0.400 3.0,337.61,950.00,3.106,3.000,0.003333,900.0,Свободная,3
С 1/0.200 3/0.600 9/0.200 3.0,388.28,950.00,3.503,3.000,0.003333,900.0,Свободная,3
С 1/0.200 3/0.600 10/0.200 3.0,359.46,950.00,4.443,3.000,0.003333,900.0,Свободная,3
С 1/0.200 3/0.600 15/0.200 3.0,386.30,950.00,3.837,3.000,0.003333,900.0,Свободная,3
С 1/0.200 4/0.600 10/0.200 3.0,374.62,950.00,4.518,3.000,0.003333,900.0,Свободная,3
С 1/0.200 5/0.600 8/0.200 3.0,382.87,950.00,3.456,3.000,0.003333,900.0,Свободная,3
С 1/0.200 5/0.600 9/0.200 3.0,361.24,950.00,4.119,3.000,0.003333,900.0,Свободная,3
С 1/0.200 5/0.600 15/0.200 3.0,358.17,950.00,4.599,3.000,0.003333,900.0,Свободная,3
С 3/0.200 4/0.600 6/0.200 3.0,383.69,950.00,4.820,3.000,0.003333,900.0,Свободная,3
С 3/0.200 8/0.600 9/0.200 3.0,261.80,950.00,2.963,3.000,0.003333,900.0,Свободная,3
С 3/0.200 8/0.600 11/0.200 3.0,278.75,950.00,3.727,3.000,0.003333,900.0,Свободная,3
С 3/0.200 8/0.600 10/0.200 3.0,235.88,950.00,3.631,3.000,0.003333,900.0,Свободная,3
С 3/0.200 8/0.600 13/0.200 3.0,341.22,950.00,2.012,3.000,0.003333,900.0,Свободная,3
С 3/0.200 8/0.600 14/0.200 3.0,301.69,950.00,2.405,3.000,0.003333,900.0,Свободная,3
С 3/0.200 8/0.600 15/0.200 3.0,258.34,950.00,3.152,3.000,0.003333,900.0,Свободная,3
С 3/0.200 9/0.600 13/0.200 3.0,273.85,950.00,3.015,3.000,0.003333,900.0,Свободная,3
С 3/0.200 9/0.600 14/0.200 3.0,241.01,950.00,3.782,3.000,0.003333,900.0,Свободная,3
С 3/0.200 14/0.600 15/0.200 3.0,315.46,950.00,2.562,3.000,0.003333,900.0,Свободная,3
С 4/0.200 8/0.600 9/0.200 3.0,264.28,950.00,2.920,3.000,0.003333,900.0,Свободная,3
С 4/0.200 8/0.600 10/0.200 3.0,237.28,950.00,3.604,3.000,0.003333,900.0,Свободная,3
С 4/0.200 8/0.600 11/0.200 3.0,281.02,950.00,3.704,3.000,0.003333,900.0,Свободная,3
С 4/0.200 8/0.600 13/0.200 3.0,348.52,950.00,1.951,3.000,0.003333,900.0,Свободная,3
С 4/0.200 8/0.600 14/0.200 3.0,306.69,950.00,2.347,3.000,0.003333,900.0,Свободная,3
С 4/0.200 8/0.600 15/0.200 3.0,261.24,950.00,3.101,3.000,0.003333,900.0,Свободная,3
С 4/0.200 9/0.600 14/0.200 3.0,242.86,950.00,3.751,3.000,0.003333,900.0,Свободная,3
С 4/0.200 9/0.600 13/0.200 3.0,277.30,950.00,2.961,3.000,0.003333,900.0,Свободная,3
С 4/0.200 14/0.600 15/0.200 3.0,321.70,950.00,2.490,3.000,0.003333,900.0,Свободная,3
С 5/0.200 8/0.600 9/0.200 3.0,253.43,950.00,3.114,3.000,0.003333,900.0,Свободная,3
С 5/0.200 8/0.600 10/0.200 3.0,228.37,950.00,3.835,3.000,0.003333,900.0,Свободная,3
С 5/0.200 8/0.600 11/0.200 3.0,271.72,950.00,3.947,3.000,0.003333,900.0,Свободная,3
С 5/0.200 8/0.600 13/0.200 3.0,331.66,950.00,2.090,3.000,0.003333,900.0,Свободная,3
С 5/0.200 8/0.600 14/0.200 3.0,292.51,950.00,2.515,3.000,0.003333,900.0,Свободная,3
С 5/0.200 8/0.600 15/0.200 3.0,250.24,950.00,3.318,3.000,0.003333,900.0,Свободная,3
С 5/0.200 9/0.600 13/0.200 3.0,265.12,950.00,3.176,3.000,0.003333,900.0,Свободная,3
С 5/0.200 9/0.600 14/0.200 3.0,233.27,950.00,4.009,3.000,0.003333,900.0,Свободная,3
С 5/0.200 14/0.600 15/0.200 3.0,305.54,950.00,2.697,3.000,0.003333,900.0,Свободная,3
С 8/0.200 9/0.600 10/0.200 3.0,239.71,950.00,3.550,3.000,0.003333,900.0,Свободная,3
С 8/0.200 9/0.600 11/0.200 3.0,283.46,950.00,3.649,3.000,0.003333,900.0,Свободная,3
С 8/0.200 9/0.600 14/0.200 3.0,309.46,950.00,2.319,3.000,0.003333,900.0,Свободная,3
С 8/0.200 9/0.600 13/0.200 3.0,351.77,950.00,1.927,3.000,0.003333,900.0,Свободная,3
С 8/0.200 9/0.600 15/0.200 3.0,264.08,950.00,3.054,3.000,0.003333,900.0,Свободная,3
С 8/0.200 10/0.600 13/0.200 3.0,257.10,950.00,3.404,3.000,0.003333,900.0,Свободная,3
С 8/0.200 10/0.600 14/0.200 3.0,224.59,950.00,4.402,3.000,0.003333,900.0,Свободная,3
С 9/0.200 10/0.600 13/0.200 3.0,237.54,950.00,4.086,3.000,0.003333,900.0,Свободная,3
С 9/0.200 14/0.600 15/0.200 3.0,378.60,950.00,1.852,3.000,0.003333,900.0,Свободная,3
С 10/0.200 14/0.600 15/0.200 3.0,340.78,950.00,2.220,3.000,0.003333,900.0,Свободная,3
С 11/0.200 14/0.600 15/0.200 3.0,383.45,950.00,2.279,3.000,0.003333,900.0,Свободная,3
С 3/0.400 4/0.200 13/0.400 3.0,259.98,950.00,3.796,3.000,0.003333,900.0,Свободная,3
С 3/0.400 5/0.200 13/0.400 3.0,252.85,950.00,3.970,3.000,0.003333,900.0,Свободная,3
С 3/0.400 7/0.200 10/0.400 3.0,384.96,950.00,3.887,3.000,0.003333,900.0,Свободная,3
С 3/0.400 8/0.200 13/0.400 3.0,323.98,950.00,2.377,3.000,0.003333,900.0,Свободная,3
С 3/0.400 8/0.200 14/0.400 3.0,254.97,950.00,3.564,3.000,0.003333,900.0,Свободная,3
С 3/0.400 9/0.200 13/0.400 3.0,302.24,950.00,2.726,3.000,0.003333,900.0,Свободная,3
С 3/0.400 9/0.200 14/0.400 3.0,237.28,950.00,4.234,3.000,0.003333,900.0,Свободная,3
С 3/0.400 10/0.200 13/0.400 3.0,274.20,950.00,3.332,3.000,0.003333,900.0,Свободная,3
С 3/0.400 13/0.200 14/0.400 3.0,306.29,950.00,2.703,3.000,0.003333,900.0,Свободная,3
С 4/0.400 5/0.200 13/0.400 3.0,252.56,950.00,4.039,3.000,0.003333,900.0,Свободная,3
С 4/0.400 8/0.200 13/0.400 3.0,334.58,950.00,2.267,3.000,0.003333,900.0,Свободная,3
С 4/0.400 8/0.200 14/0.400 3.0,258.34,950.00,3.520,3.000,0.003333,900.0,Свободная,3
С 4/0.400 9/0.200 13/0.400 3.0,310.03,950.00,2.627,3.000,0.003333,900.0,Свободная,3
С 4/0.400 9/0.200 14/0.400 3.0,239.06,950.00,4.248,3.000,0.003333,900.0,Свободная,3
С 4/0.400 11/0.200 13/0.400 3.0,324.29,950.00,3.424,3.000,0.003333,900.0,Свободная,3
С 4/0.400 13/0.200 14/0.400 3.0,315.05,950.00,2.597,3.000,0.003333,900.0,Свободная,3
С 5/0.400 7/0.200 10/0.400 3.0,368.10,950.00,4.393,3.000,0.003333,900.0,Свободная,3
С 5/0.400 8/0.200 13/0.400 3.0,304.91,950.00,2.602,3.000,0.003333,900.0,Свободная,3
С 5/0.400 8/0.200 14/0.400 3.0,239.00,950.00,3.998,3.000,0.003333,900.0,Свободная,3
С 5/0.400 9/0.200 14/0.400 3.0,221.96,950.00,4.818,3.000,0.003333,900.0,Свободная,3
С 5/0.400 9/0.200 13/0.400 3.0,284.12,950.00,3.007,3.000,0.003333,900.0,Свободная,3
С 5/0.400 10/0.200 13/0.400 3.0,257.28,950.00,3.725,3.000,0.003333,900.0,Свободная,3
С 5/0.400 11/0.200 13/0.400 3.0,302.53,950.00,3.914,3.000,0.003333,900.0,Свободная,3
С 5/0.400 13/0.200 14/0.400 3.0,287.93,950.00,2.988,3.000,0.003333,900.0,Свободная,3
С 8/0.400 9/0.200 11/0.400 3.0,326.68,950.00,4.230,3.000,0.003333,900.0,Свободная,3
С 8/0.400 9/0.200 10/0.400 3.0,232.92,950.00,3.742,3.000,0.003333,900.0,Свободная,3
С 8/0.400 9/0.200 14/0.400 3.0,386.13,950.00,1.682,3.000,0.003333,900.0,Свободная,3
С 8/0.400 9/0.200 15/0.400 3.0,281.67,950.00,2.786,3.000,0.003333,900.0,Свободная,3
С 8/0.400 10/0.200 14/0.400 3.0,348.24,950.00,1.974,3.000,0.003333,900.0,Свободная,3
С 8/0.400 10/0.200 15/0.400 3.0,252.92,950.00,3.456,3.000,0.003333,900.0,Свободная,3
С 8/0.400 11/0.200 14/0.400 3.0,384.99,950.00,2.000,3.000,0.003333,900.0,Свободная,3
С 8/0.400 11/0.200 15/0.400 3.0,297.82,950.00,3.584,3.000,0.003333,900.0,Свободная,3
С 8/0.400 13/0.200 15/0.400 3.0,372.06,950.00,1.847,3.000,0.003333,900.0,Свободная,3
С 8/0.400 14/0.200 15/0.400 3.0,326.56,950.00,2.236,3.000,0.003333,900.0,Свободная,3
С 9/0.400 10/0.200 13/0.400 3.0,385.69,950.00,1.773,3.000,0.003333,900.0,Свободная,3
С 9/0.400 10/0.200 14/0.400 3.0,298.89,950.00,2.598,3.000,0.003333,900.0,Свободная,3
С 9/0.400 11/0.200 14/0.400 3.0,340.94,950.00,2.666,3.000,0.003333,900.0,Свободная,3
С 9/0.400 13/0.200 15/0.400 3.0,318.61,950.00,2.434,3.000,0.003333,900.0,Свободная,3
С 9/0.400 14/0.200 15/0.400 3.0,279.28,950.00,3.039,3.000,0.003333,900.0,Свободная,3
С 10/0.400 11/0.200 13/0.400 3.0,355.02,950.00,2.614,3.000,0.003333,900.0,Свободная,3
С 10/0.400 11/0.200 14/0.400 3.0,288.83,950.00,4.286,3.000,0.003333,900.0,Свободная,3
С 10/0.400 13/0.200 14/0.400 3.0,353.67,950.00,2.071,3.000,0.003333,900.0,Свободная,3
С 10/0.400 13/0.200 15/0.400 3.0,257.01,950.00,3.809,3.000,0.003333,900.0,Свободная,3
С 11/0.400 13/0.200 15/0.400 3.0,356.20,950.00,4.658,3.000,0.003333,900.0,Свободная,3
С 3/0.400 4/0.400 6/0.200 3.0,378.72,950.00,4.767,3.000,0.003333,900.0,Свободная,3
С 3/0.400 8/0.400 9/0.200 3.0,207.68,950.00,4.903,3.000,0.003333,900.0,Свободная,3
С 3/0.400 8/0.400 13/0.200 3.0,269.96,950.00,3.076,3.000,0.003333,900.0,Свободная,3
С 3/0.400 8/0.400 14/0.200 3.0,238.95,950.00,3.818,3.000,0.003333,900.0,Свободная,3
С 3/0.400 9/0.400 13/0.200 3.0,233.91,950.00,4.257,3.000,0.003333,900.0,Свободная,3
С 3/0.400 13/0.400 14/0.200 3.0,344.42,950.00,2.236,3.000,0.003333,900.0,Свободная,3
С 3/0.400 14/0.400 15/0.200 3.0,233.60,950.00,4.668,3.000,0.003333,900.0,Свободная,3
С 3/0.400 13/0.400 15/0.200 3.0,298.01,950.00,2.918,3.000,0.003333,900.0,Свободная,3
С 4/0.400 8/0.400 13/0.200 3.0,274.52,950.00,3.006,3.000,0.003333,900.0,Свободная,3
С 4/0.400 8/0.400 14/0.200 3.0,240.43,950.00,3.811,3.000,0.003333,900.0,Свободная,3
С 4/0.400 9/0.400 13/0.200 3.0,235.17,950.00,4.279,3.000,0.003333,900.0,Свободная,3
С 4/0.400 13/0.400 14/0.200 3.0,357.97,950.00,2.114,3.000,0.003333,900.0,Свободная,3
С 4/0.400 13/0.400 15/0.200 3.0,306.55,950.00,2.808,3.000,0.003333,900.0,Свободная,3
С 4/0.400 14/0.400 15/0.200 3.0,235.77,950.00,4.702,3.000,0.003333,900.0,Свободная,3
С 5/0.400 8/0.400 13/0.200 3.0,253.46,950.00,3.407,3.000,0.003333,900.0,Свободная,3
С 5/0.400 8/0.400 14/0.200 3.0,223.54,950.00,4.296,3.000,0.003333,900.0,Свободная,3
С 5/0.400 9/0.400 13/0.200 3.0,219.08,950.00,4.824,3.000,0.003333,900.0,Свободная,3
С 5/0.400 13/0.400 14/0.200 3.0,324.42,950.00,2.445,3.000,0.003333,900.0,Свободная,3
С 5/0.400 13/0.400 15/0.200 3.0,280.02,950.00,3.241,3.000,0.003333,900.0,Свободная,3
С 8/0.400 9/0.400 10/0.200 3.0,259.33,950.00,3.021,3.000,0.003333,900.0,Свободная,3
С 8/0.400 9/0.400 13/0.200 3.0,379.57,950.00,1.711,3.000,0.003333,900.0,Свободная,3
С 8/0.400 9/0.400 11/0.200 3.0,301.05,950.00,3.074,3.000,0.003333,900.0,Свободная,3
С 8/0.400 9/0.400 14/0.200 3.0,334.28,950.00,2.034,3.000,0.003333,900.0,Свободная,3
С 8/0.400 9/0.400 15/0.200 3.0,285.31,950.00,2.626,3.000,0.003333,900.0,Свободная,3
С 8/0.400 10/0.400 13/0.200 3.0,308.72,950.00,2.383,3.000,0.003333,900.0,Свободная,3
С 8/0.400 10/0.400 14/0.200 3.0,270.71,950.00,2.936,3.000,0.003333,900.0,Свободная,3
С 8/0.400 11/0.400 13/0.200 3.0,388.60,950.00,2.602,3.000,0.003333,900.0,Свободная,3
С 8/0.400 11/0.400 14/0.200 3.0,358.80,950.00,3.256,3.000,0.003333,900.0,Свободная,3
С 8/0.400 10/0.400 15/0.200 3.0,229.77,950.00,4.050,3.000,0.003333,900.0,Свободная,3
С 8/0.400 11/0.400 15/0.200 3.0,327.12,950.00,4.715,3.000,0.003333,900.0,Свободная,3
С 8/0.400 14/0.400 15/0.200 3.0,382.10,950.00,1.747,3.000,0.003333,900.0,Свободная,3
С 9/0.400 10/0.400 13/0.200 3.0,264.50,950.00,3.230,3.000,0.003333,900.0,Свободная,3
С 9/0.400 11/0.400 13/0.200 3.0,355.01,950.00,3.691,3.000,0.003333,900.0,Свободная,3
С 9/0.400 10/0.400 14/0.200 3.0,231.40,950.00,4.141,3.000,0.003333,900.0,Свободная,3
С 9/0.400 11/0.400 14/0.200 3.0,329.90,950.00,4.887,3.000,0.003333,900.0,Свободная,3
С 9/0.400 14/0.400 15/0.200 3.0,327.90,950.00,2.272,3.000,0.003333,900.0,Свободная,3
С 10/0.400 13/0.400 15/0.200 3.0,344.08,950.00,2.213,3.000,0.003333,900.0,Свободная,3
С 10/0.400 14/0.400 15/0.200 3.0,264.88,950.00,3.465,3.000,0.003333,900.0,Свободная,3
С 11/0.400 14/0.400 15/0.200 3.0,362.87,950.00,4.094,3.000,0.003333,900.0,Свободная,3
С 3/0.600 4/0.200 6/0.200 3.0,375.39,950.00,4.668,3.000,0.003333,900.0,Свободная,3
С 3/0.600 5/0.200 6/0.200 3.0,365.54,950.00,4.826,3.000,0.003333,900.0,Свободная,3
С 3/0.600 6/0.200 10/0.200 3.0,389.53,950.00,3.990,3.000,0.003333,900.0,Свободная,3
С 3/0.600 7/0.200 10/0.200 3.0,366.80,950.00,4.484,3.000,0.003333,900.0,Свободная,3
С 3/0.600 13/0.200 14/0.200 3.0,231.91,950.00,4.756,3.000,0.003333,900.0,Свободная,3
С 4/0.600 7/0.200 10/0.200 3.0,381.92,950.00,4.572,3.000,0.003333,900.0,Свободная,3
С 4/0.600 13/0.200 14/0.200 3.0,231.45,950.00,4.949,3.000,0.003333,900.0,Свободная,3
С 5/0.600 6/0.200 10/0.200 3.0,365.56,950.00,4.781,3.000,0.003333,900.0,Свободная,3
С 5/0.600 7/0.200 8/0.200 3.0,387.88,950.00,3.459,3.000,0.003333,900.0,Свободная,3
С 5/0.600 7/0.200 9/0.200 3.0,368.44,950.00,4.146,3.000,0.003333,900.0,Свободная,3
С 5/0.600 7/0.200 15/0.200 3.0,366.57,950.00,4.655,3.000,0.003333,900.0,Свободная,3
С 8/0.600 9/0.200 11/0.200 3.0,320.01,950.00,2.634,3.000,0.003333,900.0,Свободная,3
С 8/0.600 9/0.200 10/0.200 3.0,280.44,950.00,2.607,3.000,0.003333,900.0,Свободная,3
С 8/0.600 9/0.200 14/0.200 3.0,360.74,950.00,1.802,3.000,0.003333,900.0,Свободная,3
С 8/0.600 9/0.200 15/0.200 3.0,308.70,950.00,2.281,3.000,0.003333,900.0,Свободная,3
С 8/0.600 10/0.200 11/0.200 3.0,294.12,950.00,3.234,3.000,0.003333,900.0,Свободная,3
С 8/0.600 10/0.200 13/0.200 3.0,370.13,950.00,1.772,3.000,0.003333,900.0,Свободная,3
С 8/0.600 10/0.200 14/0.200 3.0,325.33,950.00,2.116,3.000,0.003333,900.0,Свободная,3
С 8/0.600 10/0.200 15/0.200 3.0,277.20,950.00,2.751,3.000,0.003333,900.0,Свободная,3
С 8/0.600 11/0.200 14/0.200 3.0,361.88,950.00,2.136,3.000,0.003333,900.0,Свободная,3
С 8/0.600 11/0.200 15/0.200 3.0,318.23,950.00,2.797,3.000,0.003333,900.0,Свободная,3
С 8/0.600 14/0.200 15/0.200 3.0,357.04,950.00,1.871,3.000,0.003333,900.0,Свободная,3
С 9/0.600 10/0.200 13/0.200 3.0,293.78,950.00,2.631,3.000,0.003333,900.0,Свободная,3
С 9/0.600 10/0.200 15/0.200 3.0,218.85,950.00,4.625,3.000,0.003333,900.0,Свободная,3
С 9/0.600 10/0.200 14/0.200 3.0,257.66,950.00,3.280,3.000,0.003333,900.0,Свободная,3
С 9/0.600 11/0.200 13/0.200 3.0,334.68,950.00,2.694,3.000,0.003333,900.0,Свободная,3
С 9/0.600 11/0.200 14/0.200 3.0,301.88,950.00,3.382,3.000,0.003333,900.0,Свободная,3
С 9/0.600 11/0.200 15/0.200 3.0,266.11,950.00,4.887,3.000,0.003333,900.0,Свободная,3
С 9/0.600 13/0.200 14/0.200 3.0,376.48,950.00,1.799,3.000,0.003333,900.0,Свободная,3
С 9/0.600 13/0.200 15/0.200 3.0,322.71,950.00,2.299,3.000,0.003333,900.0,Свободная,3
С 9/0.600 14/0.200 15/0.200 3.0,283.20,950.00,2.835,3.000,0.003333,900.0,Свободная,3
С 10/0.600 13/0.200 15/0.200 3.0,234.18,950.00,4.497,3.000,0.003333,900.0,Свободная,3
С 3/0.200 4/0.200 8/0.600 3.0,305.06,950.00,2.929,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 5/0.200 8/0.600 3.0,292.88,950.00,3.125,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 5/0.200 14/0.600 3.0,371.88,950.00,2.419,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 8/0.200 9/0.600 3.0,308.89,950.00,2.878,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 8/0.200 15/0.600 3.0,299.97,950.00,3.724,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 9/0.200 15/0.600 3.0,275.36,950.00,4.755,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 14/0.200 15/0.600 3.0,326.48,950.00,3.388,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 13/0.200 15/0.600 3.0,377.92,950.00,2.530,3.000,0.002927,1025.0,Свободная,3
С 4/0.200 5/0.200 8/0.600 3.0,294.27,950.00,3.116,3.000,0.002927,1025.0,Свободная,3
С 4/0.200 5/0.200 14/0.600 3.0,378.77,950.00,2.363,3.000,0.002927,1025.0,Свободная,3
С 4/0.200 8/0.200 9/0.600 3.0,313.93,950.00,2.816,3.000,0.002927,1025.0,Свободная,3
С 4/0.200 8/0.200 15/0.600 3.0,306.03,950.00,3.644,3.000,0.002927,1025.0,Свободная,3
С 4/0.200 9/0.200 15/0.600 3.0,279.67,950.00,4.716,3.000,0.002927,1025.0,Свободная,3
С 4/0.200 14/0.200 15/0.600 3.0,334.39,950.00,3.292,3.000,0.002927,1025.0,Свободная,3
С 5/0.200 8/0.200 9/0.600 3.0,298.13,950.00,3.059,3.000,0.002927,1025.0,Свободная,3
С 5/0.200 13/0.200 15/0.600 3.0,364.04,950.00,2.709,3.000,0.002927,1025.0,Свободная,3
С 5/0.200 14/0.200 15/0.600 3.0,314.01,950.00,3.671,3.000,0.002927,1025.0,Свободная,3
С 8/0.200 9/0.200 10/0.600 3.0,263.22,950.00,4.144,3.000,0.002927,1025.0,Свободная,3
С 8/0.200 9/0.200 15/0.600 3.0,371.17,950.00,2.332,3.000,0.002927,1025.0,Свободная,3
С 8/0.200 10/0.200 15/0.600 3.0,327.23,950.00,3.058,3.000,0.002927,1025.0,Свободная,3
С 9/0.200 10/0.200 15/0.600 3.0,299.44,950.00,3.852,3.000,0.002927,1025.0,Свободная,3
С 9/0.200 11/0.200 15/0.600 3.0,377.82,950.00,4.052,3.000,0.002927,1025.0,Свободная,3
С 10/0.200 14/0.200 15/0.600 3.0,358.12,950.00,2.763,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 4/0.400 13/0.400 3.0,370.07,950.00,2.563,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 4/0.400 14/0.400 3.0,278.28,950.00,4.642,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 5/0.400 13/0.400 3.0,337.27,950.00,2.966,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 8/0.400 9/0.400 3.0,335.43,950.00,2.425,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 8/0.400 10/0.400 3.0,266.35,950.00,3.962,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 8/0.400 15/0.400 3.0,330.07,950.00,2.765,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 9/0.400 15/0.400 3.0,278.40,950.00,4.214,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 10/0.400 14/0.400 3.0,315.54,950.00,3.267,3.000,0.002927,1025.0,Свободная,3
С 4/0.200 5/0.400 13/0.400 3.0,339.85,950.00,2.957,3.000,0.002927,1025.0,Свободная,3
С 4/0.200 8/0.400 9/0.400 3.0,342.50,950.00,2.353,3.000,0.002927,1025.0,Свободная,3
С 4/0.200 8/0.400 10/0.400 3.0,268.95,950.00,3.936,3.000,0.002927,1025.0,Свободная,3
С 4/0.200 8/0.400 15/0.400 3.0,337.78,950.00,2.679,3.000,0.002927,1025.0,Свободная,3
С 4/0.200 9/0.400 15/0.400 3.0,282.84,950.00,4.160,3.000,0.002927,1025.0,Свободная,3
С 4/0.200 10/0.400 14/0.400 3.0,321.79,950.00,3.191,3.000,0.002927,1025.0,Свободная,3
С 5/0.200 8/0.400 9/0.400 3.0,324.29,950.00,2.559,3.000,0.002927,1025.0,Свободная,3
С 5/0.200 8/0.400 10/0.400 3.0,256.37,950.00,4.271,3.000,0.002927,1025.0,Свободная,3
С 5/0.200 8/0.400 15/0.400 3.0,318.47,950.00,2.947,3.000,0.002927,1025.0,Свободная,3
С 5/0.200 9/0.400 14/0.400 3.0,383.02,950.00,2.139,3.000,0.002927,1025.0,Свободная,3
С 5/0.200 9/0.400 15/0.400 3.0,268.04,950.00,4.575,3.000,0.002927,1025.0,Свободная,3
С 5/0.200 10/0.400 14/0.400 3.0,303.90,950.00,3.513,3.000,0.002927,1025.0,Свободная,3
С 5/0.200 14/0.400 15/0.400 3.0,377.03,950.00,2.453,3.000,0.002927,1025.0,Свободная,3
С 8/0.200 9/0.400 10/0.400 3.0,297.56,950.00,3.122,3.000,0.002927,1025.0,Свободная,3
С 8/0.200 9/0.400 15/0.400 3.0,373.85,950.00,2.184,3.000,0.002927,1025.0,Свободная,3
С 8/0.200 10/0.400 15/0.400 3.0,291.89,950.00,3.734,3.000,0.002927,1025.0,Свободная,3
С 9/0.200 10/0.400 14/0.400 3.0,387.28,950.00,2.129,3.000,0.002927,1025.0,Свободная,3
С 9/0.200 10/0.400 15/0.400 3.0,266.86,950.00,4.803,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 8/0.600 10/0.200 3.0,325.44,950.00,2.552,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 8/0.600 9/0.200 3.0,364.94,950.00,2.066,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 8/0.600 11/0.200 3.0,389.87,950.00,2.556,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 8/0.600 15/0.200 3.0,362.35,950.00,2.176,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 9/0.600 10/0.200 3.0,252.82,950.00,4.623,3.000,0.002927,1025.0,Свободная,3
С 3/0.200 9/0.600 11/0.200 3.0,325.11,950.00,4.787,3.000,0.002927,1025.0,Свободная,3
